                                kicad schematic
                                Transient Analysis  Mon Jun 22 20:01:16  2026
--------------------------------------------------------------------------------
Index   time            /vin            /vout           net-_r1-pad1_   
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
1	1.000000e-11	6.283185e-05	5.665721e-07	2.833642e-07	
2	1.449680e-11	9.108610e-05	9.356815e-07	4.679540e-07	
3	2.349041e-11	1.475946e-04	1.902102e-06	9.512342e-07	
4	4.147763e-11	2.606113e-04	5.198594e-06	2.599620e-06	
5	7.745207e-11	4.866438e-04	1.719107e-05	8.596132e-06	
6	1.494009e-10	9.387000e-04	6.234084e-05	3.117155e-05	
7	2.932987e-10	1.842746e-03	2.339553e-04	1.169798e-04	
8	5.810942e-10	3.650311e-03	8.774949e-04	4.387515e-04	
9	1.156685e-09	7.261271e-03	3.191582e-03	1.595798e-03	
10	2.156685e-09	1.350942e-02	9.683046e-03	4.841534e-03	
11	3.156685e-09	1.970425e-02	1.837217e-02	9.186099e-03	
12	4.156685e-09	2.582132e-02	2.839899e-02	1.419951e-02	
13	5.156685e-09	3.183648e-02	3.920316e-02	1.960160e-02	
14	6.156685e-09	3.772600e-02	5.041360e-02	2.520682e-02	
15	7.156685e-09	4.346664e-02	6.177889e-02	3.088946e-02	
16	8.156685e-09	4.903573e-02	7.312353e-02	3.656178e-02	
17	9.156685e-09	5.441129e-02	8.432033e-02	4.216018e-02	
18	1.015669e-08	5.957213e-02	9.527313e-02	4.763658e-02	
19	1.115669e-08	6.449785e-02	1.059059e-01	5.295298e-02	
20	1.215669e-08	6.916904e-02	1.161561e-01	5.807805e-02	
21	1.315669e-08	7.356724e-02	1.259701e-01	6.298505e-02	
22	1.415669e-08	7.767511e-02	1.353010e-01	6.765050e-02	
23	1.515669e-08	8.147643e-02	1.441068e-01	7.205339e-02	
24	1.615669e-08	8.495620e-02	1.523494e-01	7.617472e-02	
25	1.715669e-08	8.810069e-02	1.599943e-01	7.999718e-02	
26	1.815669e-08	9.089749e-02	1.670101e-01	8.350504e-02	
27	1.915669e-08	9.333555e-02	1.733681e-01	8.668405e-02	
28	2.015669e-08	9.540526e-02	1.790428e-01	8.952140e-02	
29	2.115669e-08	9.709845e-02	1.840114e-01	9.200572e-02	
30	2.215669e-08	9.840844e-02	1.882542e-01	9.412712e-02	
31	2.315669e-08	9.933005e-02	1.917543e-01	9.587715e-02	
32	2.415669e-08	9.985965e-02	1.944977e-01	9.724886e-02	
33	2.515669e-08	9.999515e-02	1.964737e-01	9.823683e-02	
34	2.615669e-08	9.973602e-02	1.976742e-01	9.883713e-02	
35	2.715669e-08	9.908328e-02	1.980947e-01	9.904737e-02	
