time;V(/BIT_0);V(/BIT_1);V(/BIT_2);V(/Shaped_Out);
7.02422e-07;5;0;5;0.549793;
7.12422e-07;5;0;5;0.544327;
7.22422e-07;5;0;5;0.538915;
7.32422e-07;5;0;5;0.533555;
7.42422e-07;5;0;5;0.528248;
7.52422e-07;5;0;5;0.522993;
7.62422e-07;5;0;5;0.517789;
7.72422e-07;5;0;5;0.512637;
7.82422e-07;5;0;5;0.507536;
7.92422e-07;5;0;5;0.502485;
8.02422e-07;5;0;5;0.497484;
8.06422e-07;5;0;5;0.495498;
8.07422e-07;1.53655e-13;0;5;0.495003;
8.09422e-07;0;0;5;0.494013;
8.13422e-07;0;0;5;0.492041;
8.21422e-07;0;0;5;0.488119;
8.31422e-07;0;0;5;0.48326;
8.41422e-07;0;0;5;0.47845;
8.51422e-07;0;0;5;0.473687;
8.61422e-07;0;0;5;0.468971;
8.71422e-07;0;0;5;0.464303;
8.81422e-07;0;0;5;0.45968;
8.91422e-07;0;0;5;0.455104;
9.01422e-07;0;0;5;0.450573;
9.11422e-07;0;0;5;0.446087;
9.21422e-07;0;0;5;0.441646;
9.31422e-07;0;0;5;0.437249;
9.41422e-07;0;0;5;0.432895;
9.51422e-07;0;0;5;0.428585;
9.61422e-07;0;0;5;0.424318;
9.71422e-07;0;0;5;0.420093;
9.81422e-07;0;0;5;0.415911;
9.91422e-07;0;0;5;0.41177;
1.00142e-06;0;0;5;0.40767;
1.01142e-06;0;0;5;0.403611;
1.02142e-06;0;0;5;0.399592;
1.02242e-06;0;0;5;0.399192;
1.02342e-06;0;0;0;0.398793;
1.02542e-06;0;0;0;0.397996;
1.02642e-06;0;5;0;0.397598;
1.02682e-06;2;5;0;0.397439;
1.02762e-06;5;5;0;0.397121;
1.02922e-06;5;5;0;0.396485;
1.03242e-06;5;5;0;0.395218;
1.03882e-06;5;5;0;0.392695;
1.04882e-06;5;5;0;0.388785;
1.05882e-06;5;5;0;0.384914;
1.06882e-06;5;5;0;0.381081;
1.07882e-06;5;5;0;0.377287;
1.08882e-06;5;5;0;0.37353;
1.09882e-06;5;5;0;0.369811;
1.10882e-06;5;5;0;0.366129;
1.11882e-06;5;5;0;0.362483;
1.12882e-06;5;5;0;0.358874;
1.13882e-06;5;5;0;0.355301;
1.14882e-06;5;5;0;0.351763;
1.15882e-06;5;5;0;0.34826;
1.16882e-06;5;5;0;0.344793;
1.17882e-06;5;5;0;0.34136;
1.18882e-06;5;5;0;0.337961;
1.19882e-06;5;5;0;0.334596;
1.20882e-06;5;5;0;0.331264;
1.21882e-06;5;5;0;0.327965;
1.22882e-06;5;5;0;0.3247;
1.23882e-06;5;5;0;0.321467;
1.24882e-06;5;5;0;0.318266;
1.25882e-06;5;5;0;0.315097;
1.26882e-06;5;5;0;0.31196;
1.27882e-06;5;5;0;0.308853;
1.28882e-06;5;5;0;0.305778;
1.29882e-06;5;5;0;0.302733;
1.30882e-06;5;5;0;0.299719;
1.31282e-06;5;5;0;0.298522;
1.31382e-06;0;5;0;0.298223;
1.31582e-06;0;5;0;0.297627;
1.31982e-06;0;5;0;0.296438;
